Requirement ID,Family,Requirement Title,Full Requirement Text,CMMC L2 Status,Evidence Strength,Linked SOC2 Control,Automation Hook,Implementation Statement,Owner
3.3.5,Audit and Accountability,Audit Correlation and Reporting,"Correlate audit record review, analysis, and reporting processes for investigation and response to indications of unlawful, unauthorized, suspicious, or unusual activity.",Met,Adequate,CC7.2,log_aggregator,Log aggregation enables correlation of security events; SIEM rule documentation maintained separately.,Security Engineering
3.3.6,Audit and Accountability,Audit Reduction and Report Generation,Provide audit record reduction and report generation to support on-demand analysis and reporting.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.3.7,Audit and Accountability,Authoritative Time Source,Provide a system capability that compares and synchronizes internal system clocks with an authoritative source to generate time stamps for audit records.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.3.8,Audit and Accountability,Protect Audit Information,"Protect audit information and audit logging tools from unauthorized access, modification, and deletion.",Met,Strong,CC7.1,log_aggregator,Log bucket encryption and access policies validated; tamper-evident storage enforced.,Security Engineering
3.3.9,Audit and Accountability,Limit Audit Management,Limit management of audit logging functionality to a subset of privileged users.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.1,Configuration Management,Baseline Configuration and Inventory,"Establish and maintain baseline configurations and inventories of organizational systems (including hardware, software, firmware, and documentation) throughout the respective system development life cycles.",Met,Adequate,CC8.1,config_drift,Infrastructure configuration snapshots establish baseline; drift detection surfaces unauthorized changes.,Platform Engineering
3.4.2,Configuration Management,Security Configuration Settings,Establish and enforce security configuration settings for information technology products employed in organizational systems.,Met,Strong,CC8.1,config_drift,"Security configuration settings (MFA, TLS, encryption) continuously validated against hardened baselines.",Platform Engineering
3.4.3,Configuration Management,Change Tracking and Approval,"Track, review, approve or disapprove, and log changes to organizational systems.",Met,Adequate,CC8.1,config_drift,Configuration changes detected via drift monitoring; CAB tickets required for production changes.,Platform Engineering
3.4.4,Configuration Management,Security Impact Analysis,Analyze the security impact of changes prior to implementation.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.5,Configuration Management,Access Restrictions for Changes,"Define, document, approve, and enforce physical and logical access restrictions associated with changes to organizational systems.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.6,Configuration Management,Least Functionality,Employ the principle of least functionality by configuring organizational systems to provide only essential capabilities.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.7,Configuration Management,Restrict Nonessential Functions,"Restrict, disable, or prevent the use of nonessential programs, functions, ports, protocols, and services.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.8,Configuration Management,Application Execution Policy,"Apply deny-by-exception (blacklisting) policy to prevent the use of unauthorized software or deny-all, permit-by-exception (whitelisting) policy to allow the execution of authorized software.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.4.9,Configuration Management,User-Installed Software,Control and monitor user-installed software.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.1,Identification and Authentication,User and Device Identification,"Identify system users, processes acting on behalf of users, and devices.",Met,Strong,CC6.1,iam_access_review,"User, service account, and device identity inventory exported and reconciled quarterly.",Security Engineering
3.5.2,Identification and Authentication,User and Device Authentication,"Authenticate (or verify) the identities of users, processes, or devices, as a prerequisite to allowing access to organizational systems.",Met,Strong,CC6.2,config_drift,Authentication mechanisms validated; SSO and federation configuration monitored for drift.,Security Engineering
3.5.3,Identification and Authentication,Multifactor Authentication,Use multifactor authentication for local and network access to privileged accounts and for network access to non-privileged accounts.,Met,Strong,CC6.2,config_drift,MFA enforcement percentage tracked across human and privileged accounts; gaps flagged automatically.,Security Engineering
3.5.4,Identification and Authentication,Replay-Resistant Authentication,Employ replay-resistant authentication mechanisms for network access to privileged and non-privileged accounts.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.5,Identification and Authentication,Identifier Reuse Prevention,Prevent reuse of identifiers for a defined period.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.6,Identification and Authentication,Disable Inactive Identifiers,Disable identifiers after a defined period of inactivity.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.7,Identification and Authentication,Password Complexity,Enforce a minimum password complexity and change of characters when new passwords are created.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.8,Identification and Authentication,Password Reuse Prohibition,Prohibit password reuse for a specified number of generations.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.9,Identification and Authentication,Temporary Password Management,Allow temporary password use for system logons with an immediate change to a permanent password.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.5.10,Identification and Authentication,Cryptographically Protected Passwords,Store and transmit only cryptographically-protected passwords.,Met,Adequate,CC6.2,config_drift,Password storage and transmission validated via TLS and identity provider configuration checks.,Security Engineering
3.5.11,Identification and Authentication,Obscure Authentication Feedback,Obscure feedback of authentication information.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.6.1,Incident Response,Incident Handling Capability,"Establish an operational incident-handling capability for organizational systems that includes preparation, detection, analysis, containment, recovery, and user response activities.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.6.2,Incident Response,Incident Tracking and Reporting,"Track, document, and report incidents to designated officials and/or authorities both internal and external to the organization.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.6.3,Incident Response,Incident Response Testing,Test the organizational incident response capability.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.1,Maintenance,System Maintenance,Perform maintenance on organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.2,Maintenance,Maintenance Tool Controls,"Provide controls on the tools, techniques, mechanisms, and personnel used to conduct system maintenance.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.3,Maintenance,Off-Site Maintenance Sanitization,Ensure equipment removed for off-site maintenance is sanitized of any CUI.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.4,Maintenance,Media Inspection for Malicious Code,Check media containing diagnostic and test programs for malicious code before the media are used in organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.5,Maintenance,Nonlocal Maintenance Authentication,Require multifactor authentication to establish nonlocal maintenance sessions via external network connections and terminate such connections when nonlocal maintenance is complete.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.7.6,Maintenance,Supervise Maintenance Personnel,Supervise the maintenance activities of maintenance personnel without required access authorization.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.1,Media Protection,Protect System Media,"Protect (i.e., physically control and securely store) system media containing CUI, both paper and digital.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.2,Media Protection,Limit Media Access,Limit access to CUI on system media to authorized users.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.3,Media Protection,Media Sanitization,Sanitize or destroy system media containing CUI before disposal or release for reuse.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.4,Media Protection,Media Marking,Mark media with necessary CUI markings and distribution limitations.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.5,Media Protection,Media Transport Accountability,Control access to media containing CUI and maintain accountability for media during transport outside of controlled areas.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.6,Media Protection,Cryptographic Protection During Transport,Implement cryptographic mechanisms to protect the confidentiality of CUI stored on digital media during transport unless otherwise protected by alternative physical safeguards.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.7,Media Protection,Removable Media Control,Control the use of removable media on system components.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.8,Media Protection,Portable Storage Device Prohibition,Prohibit the use of portable storage devices when such devices have no identifiable owner.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.8.9,Media Protection,Backup CUI Protection,Protect the confidentiality of backup CUI at storage locations.,Met,Strong,C1.2,encryption_status; retention_check,Backup storage encryption validated; retention policies enforced on backup buckets.,Platform Engineering
3.9.1,Personnel Security,Personnel Screening,Screen individuals prior to authorizing access to organizational systems containing CUI.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.9.2,Personnel Security,Personnel Actions,Ensure that organizational systems containing CUI are protected during and after personnel actions such as terminations and transfers.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.1,Physical Protection,Limit Physical Access,"Limit physical access to organizational systems, equipment, and the respective operating environments to authorized individuals.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.2,Physical Protection,Protect and Monitor Facilities,Protect and monitor the physical facility and support infrastructure for organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.3,Physical Protection,Visitor Escort and Monitoring,Escort visitors and monitor visitor activity.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.4,Physical Protection,Physical Access Audit Logs,Maintain audit logs of physical access.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.5,Physical Protection,Physical Access Device Management,Control and manage physical access devices.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.10.6,Physical Protection,Alternate Work Site Safeguards,Enforce safeguarding measures for CUI at alternate work sites.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.11.1,Risk Assessment,Periodic Risk Assessment,"Periodically assess the risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals, resulting from the operation of organizational systems and the associated processing, storage, or transmission of CUI.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.11.2,Risk Assessment,Vulnerability Scanning,Scan for vulnerabilities in organizational systems and applications periodically and when new vulnerabilities affecting those systems and applications are identified.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.11.3,Risk Assessment,Vulnerability Remediation,Remediate vulnerabilities in accordance with risk assessments.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.12.1,Security Assessment,Security Control Assessment,Periodically assess the security controls in organizational systems to determine if the controls are effective in their application.,Met,Adequate,CC7.2,self_assessment_report,Monthly self-assessment report scores control effectiveness from automated evidence collection.,Compliance
3.12.2,Security Assessment,Plan of Action and Milestones,Develop and implement plans of action designed to correct deficiencies and reduce or eliminate vulnerabilities in organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.12.3,Security Assessment,Continuous Monitoring,Monitor security controls on an ongoing basis to ensure the continued effectiveness of the controls.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.12.4,Security Assessment,System Security Plan,"Develop, document, and periodically update system security plans that describe system boundaries, system environments of operation, how security requirements are implemented, and the relationships with or connections to other systems.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.1,System and Communications Protection,Boundary Protection,"Monitor, control, and protect communications (i.e., information transmitted or received by organizational systems) at the external boundaries and key internal boundaries of organizational systems.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.2,System and Communications Protection,Security Engineering Principles,"Employ architectural designs, software development techniques, and systems engineering principles that promote effective information security within organizational systems.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.3,System and Communications Protection,Separate User and Management Functionality,Separate user functionality from system management functionality.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.4,System and Communications Protection,Shared Resource Protection,Prevent unauthorized and unintended information transfer via shared system resources.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.5,System and Communications Protection,Publicly Accessible System Separation,Implement subnetworks for publicly accessible system components that are physically or logically separated from internal networks.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.6,System and Communications Protection,Deny by Default Network Traffic,"Deny network communications traffic by default and allow network communications traffic by exception (i.e., deny all, permit by exception).",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.7,System and Communications Protection,Split Tunneling Prevention,"Prevent remote devices from simultaneously establishing non-remote connections with organizational systems and communicating via some other connection to resources in external networks (i.e., split tunneling).",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.8,System and Communications Protection,Cryptographic Protection in Transit,Implement cryptographic mechanisms to prevent unauthorized disclosure of CUI during transmission unless otherwise protected by alternative physical safeguards.,Met,Strong,C1.3,encryption_status; config_drift,TLS 1.2+ enforced on public endpoints; weak cipher configurations flagged by drift scanner.,Platform Engineering
3.13.9,System and Communications Protection,Session Termination,Terminate network connections associated with communications sessions at the end of the sessions or after a defined period of inactivity.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.10,System and Communications Protection,Cryptographic Key Management,Establish and manage cryptographic keys for cryptography employed in organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.11,System and Communications Protection,FIPS-Validated Cryptography,Employ FIPS-validated cryptography when used to protect the confidentiality of CUI.,Met,Strong,C1.2,encryption_status,FIPS-validated encryption algorithms verified on storage and KMS configurations.,Platform Engineering
3.13.12,System and Communications Protection,Collaborative Computing Device Control,Prohibit remote activation of collaborative computing devices and provide indication of devices in use to users present at the device.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.13,System and Communications Protection,Mobile Code Control,Control and monitor the use of mobile code.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.14,System and Communications Protection,VoIP Control,Control and monitor the use of Voice over Internet Protocol (VoIP) technologies.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.15,System and Communications Protection,Session Authenticity,Protect the authenticity of communications sessions.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.13.16,System and Communications Protection,CUI at Rest Protection,Protect the confidentiality of CUI at rest.,Met,Strong,C1.2,encryption_status,"Encryption-at-rest posture validated across S3, RDS, EBS, and managed database services.",Platform Engineering
3.14.1,System and Information Integrity,Flaw Remediation,"Identify, report, and correct information and information system flaws in a timely manner.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.14.2,System and Information Integrity,Malicious Code Protection,Provide protection from malicious code at appropriate locations within organizational systems.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.14.3,System and Information Integrity,Security Alerts and Advisories,Monitor system security alerts and advisories and take action in response.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.14.4,System and Information Integrity,Malicious Code Updates,Update malicious code protection mechanisms when new releases are available.,Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.14.5,System and Information Integrity,Periodic and Real-Time Malware Scanning,"Perform periodic scans of organizational systems and real-time scans of files from external sources as files are downloaded, opened, or executed.",Not Met,Missing,,Manual,"Not yet implemented; requires policy, process, or technical control deployment.",
3.14.6,System and Information Integrity,System Monitoring,"Monitor organizational systems, including inbound and outbound communications traffic, for unusual or unauthorized activities or conditions.",Met,Strong,CC7.1,log_aggregator,Inbound/outbound traffic monitoring via VPC flow logs and centralized log completeness checks.,Security Engineering
3.14.7,System and Information Integrity,Identify Unauthorized Use,Identify unauthorized use of organizational systems.,Met,Strong,CC7.1,log_aggregator,Unauthorized access patterns detected through audit log analysis and anomaly alerting.,Security Engineering
